北 海 道	1648 	9 	69 	57 	1347 
青 森 県	1516 	11 	138 	72 	1664 
岩 手 県	1671 	11 	85 	72 	1643 
宮 城 県	1880 	13 	320 	61 	1112 
秋 田 県	1469 	12 	90 	78 	2373 
山 形 県	1696 	12 	122 	75 	1347 
福 島 県	1844 	13 	141 	69 	1202 
茨 城 県	2259 	14 	481 	71 	1338 
栃 木 県	2128 	14 	310 	69 	1505 
群 馬 県	2366 	15 	312 	71 	999 
埼 玉 県	2336 	16 	1902 	65 	1251 
千 葉 県	2135 	17 	1201 	64 	1447 
東 京 都	2131 	17 	6077 	45 	1614 
神奈川県	2257 	17 	3758 	57 	1517 
新 潟 県	1662 	14 	185 	74 	2327 
富 山 県	1786 	15 	253 	77 	2863 
石 川 県	1868 	15 	277 	69 	3318 
福 井 県	1740 	15 	190 	77 	2726 
山 梨 県	2462 	15 	190 	69 	939 
長 野 県	2130 	12 	157 	72 	1138 
岐 阜 県	2316 	16 	193 	74 	1876 
静 岡 県	2298 	17 	479 	65 	1822 
愛 知 県	2355 	16 	1441 	58 	1464 
三 重 県	2366 	17 	317 	73 	1394 
滋 賀 県	2073 	15 	353 	70 	1492 
京 都 府	1940 	16 	567 	61 	1451 
大 阪 府	2300 	17 	4654 	53 	1418 
兵 庫 県	2255 	17 	662 	64 	1298 
奈 良 県	2004 	15 	375 	73 	1506 
和歌山県	2282 	17 	207 	73 	1370 
鳥 取 県	1842 	16 	165 	70 	2048 
島 根 県	1843 	15 	105 	73 	2035 
岡 山 県	2214 	16 	271 	67 	1341 
広 島 県	2249 	17 	335 	61 	1821 
山 口 県	2041 	16 	232 	66 	2267 
徳 島 県	2327 	17 	186 	69 	1949 
香 川 県	2288 	17 	525 	71 	1537 
愛 媛 県	2208 	17 	247 	66 	1623 
高 知 県	2373 	17 	105 	67 	2327 
福 岡 県	2059 	18 	1022 	54 	1802 
佐 賀 県	2113 	17 	344 	69 	2012 
長 崎 県	2018 	18 	340 	66 	1684 
熊 本 県	2197 	17 	243 	64 	1975 
大 分 県	2186 	17 	186 	63 	1506 
宮 崎 県	2411 	18 	145 	66 	2080 
鹿児島県	2183 	19 	183 	66 	1778 
沖 縄 県	1809 	23 	622 	50 	2071 
