北 海 道	1648 	9.2 	69.3 	57.2 	1347 
青 森 県	1516 	10.5 	138.4 	71.7 	1664 
岩 手 県	1671 	10.6 	84.8 	71.9 	1643 
宮 城 県	1880 	12.7 	319.5 	60.8 	1112 
秋 田 県	1469 	11.9 	90.2 	78.4 	2373 
山 形 県	1696 	11.9 	122.4 	75.5 	1347 
福 島 県	1844 	13.4 	141.2 	68.8 	1202 
茨 城 県	2259 	14.3 	480.8 	70.7 	1338 
栃 木 県	2128 	14.4 	309.9 	68.6 	1505 
群 馬 県	2366 	15.2 	311.8 	70.7 	999 
埼 玉 県	2336 	15.6 	1901.5 	65.3 	1251 
千 葉 県	2135 	16.6 	1200.8 	64.4 	1447 
東 京 都	2131 	17.1 	6076.7 	44.6 	1614 
神奈川県	2257 	16.6 	3757.8 	57.2 	1517 
新 潟 県	1662 	13.8 	185.2 	73.9 	2327 
富 山 県	1786 	14.5 	253.3 	77.5 	2863 
石 川 県	1868 	15.0 	276.9 	69.1 	3318 
福 井 県	1740 	14.9 	189.7 	77.4 	2726 
山 梨 県	2462 	15.4 	189.7 	69.4 	939 
長 野 県	2130 	12.3 	156.5 	72.4 	1138 
岐 阜 県	2316 	16.3 	193.1 	73.9 	1876 
静 岡 県	2298 	17.2 	478.5 	64.8 	1822 
愛 知 県	2355 	16.4 	1441.0 	57.8 	1464 
三 重 県	2366 	16.5 	317.3 	73.0 	1394 
滋 賀 県	2073 	15.1 	352.5 	70.4 	1492 
京 都 府	1940 	16.2 	567.3 	60.8 	1451 
大 阪 府	2300 	17.1 	4653.9 	53.0 	1418 
兵 庫 県	2255 	17.0 	661.9 	63.6 	1298 
奈 良 県	2004 	15.3 	374.7 	72.6 	1506 
和歌山県	2282 	17.0 	207.1 	72.8 	1370 
鳥 取 県	1842 	15.5 	164.8 	70.0 	2048 
島 根 県	1843 	15.4 	104.7 	73.0 	2035 
岡 山 県	2214 	16.4 	271.3 	66.5 	1341 
広 島 県	2249 	16.6 	334.9 	61.2 	1821 
山 口 県	2041 	15.8 	232.2 	66.4 	2267 
徳 島 県	2327 	16.8 	185.7 	69.0 	1949 
香 川 県	2288 	16.8 	524.9 	70.9 	1537 
愛 媛 県	2208 	16.8 	247.4 	65.6 	1623 
高 知 県	2373 	17.3 	104.9 	66.8 	2327 
福 岡 県	2059 	17.7 	1022.2 	53.6 	1802 
佐 賀 県	2113 	17.1 	344.3 	69.3 	2012 
長 崎 県	2018 	17.5 	340.2 	65.7 	1684 
熊 本 県	2197 	17.2 	243.2 	64.3 	1975 
大 分 県	2186 	16.9 	185.8 	62.6 	1506 
宮 崎 県	2411 	17.9 	144.8 	66.0 	2080 
鹿児島県	2183 	18.9 	182.8 	65.8 	1778 
沖 縄 県	1809 	23.3 	621.5 	50.2 	2071 
